l_includes|l_model_number|l_series|l_color|l_type|l_suitable|l_power|l_gm_type|l_gm_capacity|l_processor_name|l_processor_generation|l_ssd|l_ssd_capacity|l_ram|l_ram_type|l_clock_speed|l_expandable_memory|l_graphic_processor|l_number_cores|l_Id_id|created_at|updated_at
Laptop, Power Adaptor, User Guide, Warranty Documents|G733ZW-LL139WS|ROG Strix SCAR 17|Off Black|Gaming Laptop|Gaming|280 W AC Adapter|GDDR6|8 GB|Core i9|12th Gen|Yes|1 TB|32 GB|DDR5|2.5 GHz upto max turbo frequency at 5.0 Ghz|64|NVIDIA GeForce RTX 3070 Ti|14.0|1||
Laptop, Power Adaptor, User Guide, Warranty Documents|G533ZW-LN136WS|ROG Strix SCAR 15|Off Black|Gaming Laptop|Gaming|280 W AC Adapter|GDDR6|8 GB|Core i9|12th Gen|Yes|1 TB|32 GB|DDR5|2.5 GHz upto max turbo frequency at 5.0 Ghz|64|NVIDIA GeForce RTX 3070 Ti|14.0|2||
Laptop, battery, adapter, cables and user manuals|16-e0351AX|Victus|Mica Silver|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|3.2 GHz upto max turbo frequency at 4.4 GHz|No description available|NVIDIA GeForce RTX 3050|8.0|3||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ACH6|IdeaPad Gaming 3i|Shadow Black|Gaming Laptop|Gaming|Slim Tip 3-pin Power Adapter|GDDR6|4 GB|Ryzen 7 Octa Core|5th Gen|Yes|512 GB|16 GB|DDR4|3.2 GHz|No description available|NVIDIA GeForce RTX 3050|8.0|4||
Laptop, Adaptor|82A300MBIN|Yoga Slim 7|Slate Grey|Thin and Light Laptop|Processing & Multitasking, Entertainment, Everyday Use, Performance, Travel & Business|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|No description available|No description available|Intel Integrated Intel|0.0|5||
Thin & Light Laptop, Power Adaptor, User Guide, Warranty Documents|14ITL05|Yoga Slim 7|Slate Grey|Thin and Light Laptop|Processing & Multitasking|65W USB-C AC Adapter|No description available|No description available|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz|No description available|Intel Integrated Iris Xe Graphics|4.0|6||
Laptop & Adaptor|82C30053IH|Lenovo V15|Iron Grey|Thin and Light Laptop|Everyday Use, Entertainment, Travel & Business, Processing & Multitasking|No description available|No description available|No description available|Celeron Dual Core|No description available|Yes|256 GB|4 GB|DDR4|No description available|No description available|Intel Integrated Intel HD|0.0|7||
2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents|13ALC6|Yoga 6|Abyss Blue|2 in 1 Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Ryzen 7 Octa Core|5th Gen|Yes|1 TB|16 GB|DDR4|1.8 GHz|No description available|AMD Radeon Integrated AMD Radeon Graphics|8.0|8||
Laptop , Adaptor, & Manual|FX506LH-HN310W|TUF Gaming F15|Black|Gaming Laptop|Gaming, Entertainment, Processing & Multitasking, Everyday Use, Performance|150W AC Adapter, Output: 20V DC, 7.5A, 150W, Input: 100~240V AC, 50/60Hz universal|GDDR6|4 GB|Core i5|10th Gen|Yes|1 TB|8 GB|DDR4|2.5 Ghz With Turbo Upto 4.5|Upto 32 GB|NVIDIA GeForce GTX 1650|4.0|9||
Laptop, battery, adapter, cables and user manuals|Inspiron 3521|Inspiron|Carbon Black|Notebook|Everyday Use|No description available|No description available|No description available|Pentium Silver|No description available|Yes|256 GB|8 GB|DDR4|3.1|16|Intel Integrated UHD Graphics|4.0|10||
Laptop, battery, adapter, cables and user manuals|Inspiron 3525|Inspiron|Carbon Black|Notebook|Everyday Use|No description available|No description available|No description available|Athlon Dual Core|No description available|Yes|256 GB|8 GB|DDR4|3.2|16|AMD Radeon Radeon Graphics|2.0|11||
Laptop, battery, adapter, cables and user manuals|XPS 9305|No description available|Platinum Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|2.4 GHz upto max turbo frequency at 4.2 Ghz|32|Intel Integrated Iris Xe|8.0|12||
2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents|14ITL5|Yoga 7i|Slate Grey|2 in 1 Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Ryzen 7 Octa Core|5th Gen|Yes|512 GB|16 GB|DDR4|1.9 GHz|No description available|AMD Radeon Integrated AMD Radeon Graphics|0.0|13||
Laptop, Manual, Adaptor|FA506IC-HN075W|No description available|Black|Gaming Laptop|Gaming|No description available|DDR4|4 GB|Ryzen 7 Dual Core|7th Gen|Yes|512 GB|16 GB|DDR4|No description available|No description available|NVIDIA GeForce RTX3050- 4GB|0.0|14||
Laptop, Manual, Adaptor|M515DA-BR322WS|No description available|Silver|Laptop|Entertainment, Everyday Use, Processing & Multitasking, Travel & Business|No description available|No description available|No description available|Ryzen 3 Quad Core|3rd Gen|Yes|256 GB|8 GB|DDR4|No description available|No description available|AMD Radeon amd redeon|0.0|15||
LAPTOP, ADAPTER AND MANUAL|3511|Inspiron 3511|Black|Laptop|Everyday Use|65W|DDR4|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|No description available|UP TO 16GB|Intel Integrated|0.0|16||
Laptop, Power Adaptor, User Guide, GV 301 Sleeve Bag, Pen, Warranty Documents|GV301QH-K6461TS|ROG Flow X13 (2021)|Black|2 in 1 Gaming Laptop|Gaming, Processing & Multitasking|100W AC Adapter|GDDR6|4 GB|Ryzen 9 Octa Core|5th Gen|Yes|1 TB|32 GB|LPDDR4X|3.1 GHz with Turbo Boost up to 4.5 GHz|16|NVIDIA GeForce GTX 1650|8.0|17||
Laptop, Battery, Power Adapter, User Guide, Stealth Trooper Backpack|GP66 Leopard 11UG|GP66 Leopard|Black|Gaming Laptop|Processing & Multitasking, Gaming|280 W AC Adapter|GDDR6|8 GB|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|4.60 GHz with Max Turbo Frequency|64GB|NVIDIA GeForce RTX 3070|0.0|18||
Laptop, Manual, Adaptor|K513EA-L301WS|Vivobook 15 OLED|Hearty Gold|Laptop|Entertainment, Everyday Use, Performance, Processing & Multitasking|65W AC Adapter|DDR4|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|Intel® Core i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)|No description available|Intel Integrated Intel® UHD Graphics|2.0|19||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|CloudPro002|Book Prime|Grey|Thin and Light Laptop|Entertainment, Performance, Processing & Multitasking|65W Type-C Adaptor|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|Base 3.2 GHz Turbo Boost Upto 4.5 GHz|No description available|Intel Integrated Iris Xe|0.0|20||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|CloudPro002|Book Prime|Green|Thin and Light Laptop|Entertainment, Performance, Processing & Multitasking|65W Type-C Adaptor|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|Base 3.2 GHz Turbo Boost Upto 4.5 GHz|No description available|Intel Integrated Iris Xe|0.0|21||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|CloudPro002|Book Prime|Blue|Thin and Light Laptop|Entertainment, Performance, Processing & Multitasking|65W Type-C Adaptor|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|Base 3.2 GHz Turbo Boost Upto 4.5 GHz|No description available|Intel Integrated Iris Xe|0.0|22||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|G15-5511 SE|G15|Obsidian Black|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|Base Frequency 2.6 GHz Upto Max Turbo Frequency at 4.4 GHz|32|NVIDIA GeForce RTX 3050 Ti|8.0|23||
Laptop, battery, adapter, cables and user manuals|G15-5515|No description available|Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|3.2 GHz upto max turbo frequency at 4.4 Ghz|No description available|NVIDIA GeForce RTX 3050|8.0|24||
Laptop, Power Adaptor, User Guide, Warranty Documents|NU14A1INC43PN-MB|SATUS|Matt Black|Laptop|Processing & Multitasking|No description available|No description available|No description available|Celeron Dual Core|No description available|Yes|128 GB|4 GB|DDR4|No description available|No description available|Intel Integrated UHD Graphics|0.0|25||
Laptop, Battery, Power Adaptor, User Guide, Warranty Documents|S3402ZA-KM501WS|Vivobook S14 OLED (2022) Intel EVO|Neutral Grey|Thin and Light Laptop|Processing & Multitasking|90W AC Adapter|No description available|No description available|Core i5|12th Gen|Yes|512 GB|16 GB|DDR4|4.5|No description available|Intel Integrated Iris Xe Graphics|8.0|26||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|S3402ZA-KM702WS|Vivobook S14 OLED (2022) Intel EVO|Indie Black|Thin and Light Laptop|Processing & Multitasking|90 W AC Adapter|No description available|No description available|Core i7|12th Gen|Yes|512 GB|16 GB|DDR4|Base Frequency 3.0 GHz Max Turbo Frequency at 4.7 GHz|No description available|Intel Integrated Iris Xe|6.0|27||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|UX3402ZA-KM531WS|Zenbook 14 OLED (2022) Intel EVO|Ponder Blue|Thin and Light Laptop|Processing & Multitasking|65W Type-C Adaptor|No description available|No description available|Core i5|12th Gen|Yes|512 GB|16 GB|LPDDR5|Base Frequency 1.7 GHz Max Turbo Frequency Upto 4.4 GHz|No description available|Intel Integrated Iris Xe|12.0|28||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|UX5401ZAS-KN711WS|Zenbook 14X (2022) Space edition Intel EVO|Titanium|Thin and Light Laptop|Processing & Multitasking|100W Type-C Adapter|No description available|No description available|Core i7|12th Gen|Yes|1 TB|16 GB|LPDDR5|Base Frequency 2.3 GHz Max Frequency Upto 4.7 GHz|No description available|Intel Integrated Iris Xe|12.0|29||
Laptop, Battery, Power Adaptor, User Guide, Warranty Documents|S3402ZA-KM502WS|Vivobook S14 OLED (2022) Intel EVO|Indie Black|Thin and Light Laptop|Processing & Multitasking|90W AC Adapter|No description available|No description available|Core i5|12th Gen|Yes|512 GB|16 GB|DDR4|4.5|No description available|Intel Integrated Iris Xe Graphics|8.0|30||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|UX3402ZA-KM731WS|Zenbook 14 OLED (2022) Intel EVO|Ponder Blue|Thin and Light Laptop|Processing & Multitasking|65W Type-C Adaptor|No description available|No description available|Core i7|12th Gen|Yes|512 GB|16 GB|LPDDR5|Base Frequency 2.1 GHz Max Turbo Frequency Upto 4.7 GHz|No description available|Intel Integrated Iris Xe|12.0|31||
Laptop, Battery, Power Adaptor, User Guide, Warranty Documents|S3402ZA-KM701WS|Vivobook S14 OLED (2022) Intel EVO|Neutral Grey|Thin and Light Laptop|Processing & Multitasking|90W AC Adapter|No description available|No description available|Core i7|12th Gen|Yes|512 GB|16 GB|DDR4|4.7|No description available|Intel Integrated Iris Xe Graphics|8.0|32||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|UX5401ZAS-KN521WS|Zenbook 14X (2022) Space edition Intel EVO|Titanium|Thin and Light Laptop|Processing & Multitasking|100W Type-C Adapter|No description available|No description available|Core i5|12th Gen|Yes|512 GB|16 GB|LPDDR5|Base Frequency 2.5 GHz Max Frequency Upto 4.5 GHz|No description available|Intel Integrated Iris Xe|12.0|33||
Laptop, Power Adaptor, User Guide, Warranty Documents|Vostro 3405|Vostro 3405|Dune|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 5 Quad Core|No description available|Yes|256 GB|8 GB|DDR4|2.1 GHz with Turbo Boost Upto 3.5 GHz|Upto 16 GB|AMD Radeon Vega 8|4.0|34||
Laptop, Manual|FA506IC-HN005T|No description available|Graphite Black|Gaming Laptop|Gaming|No description available|GDDR3|4 GB|Ryzen 7 Hexa Core|10th Gen|Yes|512 GB|8 GB|DDR4|No description available|No description available|NVIDIA GeForce RTX 3050 rts|0.0|35||
Laptop, Manual, Adaptor|FA506QM-HN124W|No description available|Graphite Black|Gaming Laptop|Gaming|No description available|GDDR5|6 GB|Ryzen 9 Octa Core|10th Gen|Yes|512 GB|16 GB|DDR4|No description available|No description available|NVIDIA GeForce RTX RTX3060-6GB|0.0|36||
Laptop, Manual, Adaptor|X515JA-BQ511WS|No description available|Transparent Silver|Thin and Light Laptop|Everyday Use, Performance, Processing & Multitasking|No description available|No description available|No description available|Core i5|10th Gen|Yes|256 GB|8 GB|DDR4|No description available|No description available|Intel Integrated intel|0.0|37||
Laptop, Power Adaptor, User Guide, Warranty Documents|K513EA-L501TS|No description available|Hearty Gold|Laptop|Everyday Use|No description available|DDR4|No description available|Core i5|11th Gen|Yes|256 GB|8 GB|DDR4|No description available|No description available|Intel Integrated Intel HD Graphics|0.0|38||
Laptop-, Manual, Adaptor|G713IH-HX020T|No description available|Gray|Gaming Laptop|Gaming|No description available|GDDR5|4 GB|Ryzen 7 Quad Core|10th Gen|Yes|512 GB|8 GB|DDR4|No description available|No description available|NVIDIA GeForce GTX GTX 1650 4GB Graphics|0.0|39||
Laptop, Power Adaptor, User Guide, Warranty Documents|K413EA-EB522WS|No description available|Indie Black|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|Base Frequency 2.40 GHz, Max Turbo Boost Frequency Up to 4.20 GHz|No description available|Intel Integrated Iris Xe|4.0|40||
Laptop, Power Adaptor, User Guide, Warranty Documents|X515JA-BQ521WS|VivoBook 15 (2021)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|1.0 GHz upto max turbo frequency at 3.6 GHz|No description available|Intel Integrated UHD|4.0|41||
Laptop, battery, adapter, cables and user manuals|G15-5521 SE|G15|Obsidian Black|Gaming Laptop|Gaming|No description available|GDDR6|6 GB|Core i7|12th Gen|Yes|1 TB|16 GB|DDR5|3.5 GHz upto max turbo frequency at 4.7 Ghz|32|NVIDIA GeForce RTX 3060|14.0|42||
Laptop, battery, adapter, cables and user manuals|G15-5520|G15|Dark Shadow Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i5|12th Gen|Yes|512 GB|16 GB|DDR5|3.3 GHz upto max turbo frequency at 4.5 Ghz|32|NVIDIA GeForce RTX 3050|12.0|43||
Laptop, battery, adapter, cables and user manuals|G15-5520|G15|Dark Shadow Grey|Gaming Laptop|Gaming|No description available|GDDR6|6 GB|Core i7|12th Gen|Yes|512 GB|16 GB|DDR5|3.5 GHz upto max turbo frequency at 4.7 Ghz|32|NVIDIA GeForce RTX 3060|14.0|44||
Laptop, Power Adaptor, User Guide, Warranty Documents|X515EA-BR312TS|No description available|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|Base Frequency 3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz|No description available|Intel Integrated UHD|2.0|45||
Laptop, battery, adapter, cables and user manuals|G15-5511|No description available|Dark Shadow Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.6 GHz upto max turbo frequency at 4.4 Ghz|No description available|NVIDIA GeForce RTX 3050|8.0|46||
Laptop, battery, adapter, cables and user manuals|G15-5521 SE|G15|Obsidian Black|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i7|12th Gen|Yes|1 TB|16 GB|DDR5|3.5 GHz upto max turbo frequency at 4.7 Ghz|32|NVIDIA GeForce RTX 3050 Ti|14.0|47||
Laptop, battery, adapter, cables and user manuals|G15-5520|G15|Dark Shadow Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i7|12th Gen|Yes|512 GB|16 GB|DDR5|3.5 GHz upto max turbo frequency at 4.7 Ghz|32|NVIDIA GeForce RTX 3050 Ti|14.0|48||
Laptop, battery, adapter, cables and user manuals|G15-5511|No description available|Dark Shadow Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.6 GHz upto max turbo frequency at 4.4 Ghz|No description available|NVIDIA GeForce RTX 3050|8.0|49||
Laptop, Power Adaptor, User Guide, Warranty Documents|A515-56|Aspire 5|Pure Silver|Thin and Light Laptop|Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business|45 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|Base Frequency 2.40 GHz, Max Turbo Boost Frequency Up to 4.20 GHz|No description available|Intel Integrated Iris Xe|4.0|50||
Laptop, Power Adaptor, User Guide, Warranty Documents|K513EA-L322WS|VivoBook Ultra K15 OLED|Indie Black|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|1.7 GHz upto max turbo frequency at 4.1 Ghz|No description available|Intel Integrated UHD|2.0|51||
Laptop, Power Adaptor, User Guide, Warranty Documents|X515JA-BQ302W|VivoBook 15|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45W AC Adapter|No description available|No description available|Core i3|10th Gen|No|No description available|8 GB|DDR4|1.2 GHz upto max turbo frequency at 3.4 Ghz|No description available|Intel Integrated UHD|2.0|52||
Laptop, Manual, Adaptor|K513EA-L513WS|No description available|Silver|Laptop|Performance, Processing & Multitasking, Everyday Use, Entertainment|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|No description available|No description available|Intel Integrated intel|0.0|53||
Laptop, Battery, Power Adaptor, User Guide, Warranty Documents|15s-du3519TX|No description available|Natural Silver|Thin and Light Laptop|Processing & Multitasking|No description available|GDDR6|2 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|4.2|16|NVIDIA GeForce MX450|4.0|54||
Laptop, Power Adaptor, User Guide, Warranty Documents|14-EC1008AU|Pavilion|Natural Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|2.0 GHz upto max turbo frequency at 4.5 Ghz|No description available|AMD Radeon AMD|8.0|55||
Laptop, Power Adaptor, User Guide, Warranty Documents|14-EC1019AU|Pavilion|Natural Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|16 GB|DDR4|2.4 GHz upto max turbo frequency at 4.3 Ghz|No description available|AMD Radeon AMD|6.0|56||
Laptop, Adaptor|FX516PCZ-HN090T|No description available|White|Gaming Laptop|Gaming|No description available|DDR5|4 GB|Core i5|11th Gen|Yes|1 TB|8 GB|DDR4|No description available|No description available|NVIDIA GeForce RTX RTX3050-4G|0.0|57||
Laptop, Power cord, Adapter, User Manual|TMB311-31|No description available|Black|Notebook|Everyday Use, Performance, Processing & Multitasking, Travel & Business|45 W AC Adapter|No description available|No description available|Celeron Dual Core|No description available|Yes|256 GB|4 GB|DDR4|2.80|No description available|Intel Integrated UHD Graphics 600|2.0|58||
Laptop, Power cord, Adapter, User Manual|TMB311-31|No description available|Black|Notebook|Everyday Use, Performance, Processing & Multitasking, Travel & Business|45 W AC Adapter|No description available|No description available|Celeron Dual Core|No description available|Yes|128 GB|4 GB|DDR4|2.80|No description available|Intel Integrated UHD Graphics 600|2.0|59||
Laptop, Power Adaptor, User Guide, Warranty Documents|AN515-57|Nitro 5|Shale Black|Gaming Laptop|Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business|135W AC Adapter|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|Base Clock 2.70 GHz, Max Turbo Boost Frequency Up to 4.50 GHz|No description available|NVIDIA GeForce GTX 1650|6.0|60||
Laptop, Power Adaptor, User Guide, Warranty Documents|X415MA-BV011W|VivoBook 14 (2021)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|33W AC Adapter|No description available|No description available|Celeron Dual Core|No description available|Yes|256 GB|4 GB|DDR4|1.1 GHz upto max turbo frequency at 2.8 Ghz|No description available|Intel Integrated UHD|2.0|61||
Laptop, Power Adaptor, User Guide, Warranty Documents|A315-58|Aspire 3|Pure Silver|Thin and Light Laptop|Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business|45 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|Base Frequency 2.40 GHz, Max Turbo Boost Frequency Up to 4.20 GHz|No description available|Intel Integrated Iris Xe|2.0|62||
Laptop, Power Adaptor, User Guide, Warranty Documents|AN515-58|Nitro 5|Shale Black|Gaming Laptop|Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business|180 W AC Adapter|GDDR6|4 GB|Core i7|12th Gen|Yes|512 GB|16 GB|DDR4|Performance-core Max Turbo Frequency Up to 4.70 GHz, Efficient-core Max Turbo Frequency up to 3.50 GHz|No description available|NVIDIA GeForce RTX 3050 Ti|14.0|63||
Laptop, Power Adaptor, User Guide, Warranty Documents|15-EC2048AX|Pavilion Gaming|Shadow Black|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|3.2 GHz upto max turbo frequency at 4.2 Ghz|No description available|NVIDIA GeForce RTX 3050 Ti|6.0|64||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|16-B1351TX|OMEN|Shadow Black|Laptop|Processing & Multitasking|No description available|GDDR6|4 GB|Core i7|12th Gen|Yes|1 TB|16 GB|DDR5|Max Turbo Frequency Upto 4.7 GHz|No description available|NVIDIA GeForce RTX 3050 Ti|14.0|65||
LAPTOP / ADAPTER / POWER CABLE|THINKBOOK 15|THINKBOOK 15|Minral Grey|Notebook|Everyday Use|65W|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|3.00 GHZ|16|Intel Integrated INTEL UHD|2.0|66||
Laptop, Power Adaptor, User Guide, Warranty Documents|M515DA-BQ512WS|No description available|Transparent Silver|Thin and Light Laptop|Everyday Use|No description available|DDR4|No description available|Ryzen 5 Quad Core|3rd Gen|Yes|512 GB|8 GB|DDR4|No description available|No description available|AMD Radeon|0.0|67||
Laptop, battery, adapter, cables and user manuals|Inspiron 3521|Inspiron|Platinum Silver|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Pentium Quad Core|No description available|Yes|256 GB|8 GB|DDR4|1.1 GHz upto max turbo frequency at 3.1 Ghz|Upto 16 GB|Intel Integrated UHD|4.0|68||
Laptop, Manual|K513EA-L501WS|No description available|Hearty GOLD|Laptop|Entertainment|No description available|No description available|No description available|Core i5|11th Gen|Yes|256 GB|8 GB|DDR4|No description available|No description available|Intel Integrated INTEL HD|0.0|69||
laptop, adaptor, manual|G513IC-HN023WS|No description available|Gray|Gaming Laptop|Gaming|No description available|DDR5|4 GB|Ryzen 7 Quad Core|10th Gen|Yes|512 GB|16 GB|DDR4|No description available|No description available|AMD Radeon RTX3050- 4GB|0.0|70||
Laptop / Adapater / Power Cable|Vostro 5625|Vostro 5000 Series|Titan Grey|Thin and Light Laptop|Everyday Use|65w Adapter|No description available|No description available|Ryzen 5 Quad Core|No description available|Yes|512 GB|16 GB|DDR4|4.00 GHZ|32|AMD Radeon Intgrated|6.0|71||
Laptop, battery, adapter, cables and user manuals|G15-5511|G15|Dark Shadow Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.2 GHz to max turbo frequency at 4.5 Ghz|16 GB|NVIDIA GeForce RTX 3050Ti|0.0|72||
Laptop, Power Adaptor, User Guide, Warranty Documents|FX577ZE-HN056W|TUF Gaming F15|Jaeger Gray|Gaming Laptop|Gaming|200 W AC Adapter|GDDR6|4 GB|Core i7|12th Gen|Yes|512 GB|16 GB|DDR5|3.0 GHz upto max turbo frequency at 4.7 GHz|32|NVIDIA GeForce RTX 3050 Ti|14.0|73||
Laptop, Power Adaptor, User Guide, Warranty Documents|G733ZW-LL139WS|ROG Strix SCAR 17|Off Black|Gaming Laptop|Gaming|280 W AC Adapter|GDDR6|8 GB|Core i9|12th Gen|Yes|1 TB|32 GB|DDR5|2.5 GHz upto max turbo frequency at 5.0 Ghz|64|NVIDIA GeForce RTX 3070 Ti|14.0|74||
Laptop, Power Adaptor, User Guide, Warranty Documents|G533ZW-LN136WS|ROG Strix SCAR 15|Off Black|Gaming Laptop|Gaming|280 W AC Adapter|GDDR6|8 GB|Core i9|12th Gen|Yes|1 TB|32 GB|DDR5|2.5 GHz upto max turbo frequency at 5.0 Ghz|64|NVIDIA GeForce RTX 3070 Ti|14.0|75||
Laptop, battery, adapter, cables and user manuals|16-e0351AX|Victus|Mica Silver|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|3.2 GHz upto max turbo frequency at 4.4 GHz|No description available|NVIDIA GeForce RTX 3050|8.0|76||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ACH6|IdeaPad Gaming 3i|Shadow Black|Gaming Laptop|Gaming|Slim Tip 3-pin Power Adapter|GDDR6|4 GB|Ryzen 7 Octa Core|5th Gen|Yes|512 GB|16 GB|DDR4|3.2 GHz|No description available|NVIDIA GeForce RTX 3050|8.0|77||
Laptop, Adaptor|82A300MBIN|Yoga Slim 7|Slate Grey|Thin and Light Laptop|Processing & Multitasking, Entertainment, Everyday Use, Performance, Travel & Business|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|No description available|No description available|Intel Integrated Intel|0.0|78||
Thin & Light Laptop, Power Adaptor, User Guide, Warranty Documents|14ITL05|Yoga Slim 7|Slate Grey|Thin and Light Laptop|Processing & Multitasking|65W USB-C AC Adapter|No description available|No description available|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz|No description available|Intel Integrated Iris Xe Graphics|4.0|79||
Laptop & Adaptor|82C30053IH|Lenovo V15|Iron Grey|Thin and Light Laptop|Everyday Use, Entertainment, Travel & Business, Processing & Multitasking|No description available|No description available|No description available|Celeron Dual Core|No description available|Yes|256 GB|4 GB|DDR4|No description available|No description available|Intel Integrated Intel HD|0.0|80||
2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents|13ALC6|Yoga 6|Abyss Blue|2 in 1 Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Ryzen 7 Octa Core|5th Gen|Yes|1 TB|16 GB|DDR4|1.8 GHz|No description available|AMD Radeon Integrated AMD Radeon Graphics|8.0|81||
Laptop , Adaptor, & Manual|FX506LH-HN310W|TUF Gaming F15|Black|Gaming Laptop|Gaming, Entertainment, Processing & Multitasking, Everyday Use, Performance|150W AC Adapter, Output: 20V DC, 7.5A, 150W, Input: 100~240V AC, 50/60Hz universal|GDDR6|4 GB|Core i5|10th Gen|Yes|1 TB|8 GB|DDR4|2.5 Ghz With Turbo Upto 4.5|Upto 32 GB|NVIDIA GeForce GTX 1650|4.0|82||
Laptop, battery, adapter, cables and user manuals|Inspiron 3521|Inspiron|Carbon Black|Notebook|Everyday Use|No description available|No description available|No description available|Pentium Silver|No description available|Yes|256 GB|8 GB|DDR4|3.1|16|Intel Integrated UHD Graphics|4.0|83||
